,prev_pred,regex
0,conversation_opener,(^(slash|oracle|applicant|choose|belong|accomplish|hop|lie|base|shred|info|collect|presence|sage|worthy|riddle|blame|obscurity|discourse|topic|hibernation|mode|gather|engage)(?![\w])|(?<=[\W_])(slash|oracle|applicant|choose|belong|accomplish|hop|lie|base|shred|info|collect|presence|sage|worthy|riddle|blame|obscurity|discourse|topic|hibernation|mode|gather|engage)(?![\w])|(?<=[\W_])(slash|oracle|applicant|choose|belong|accomplish|hop|lie|base|shred|info|collect|presence|sage|worthy|riddle|blame|obscurity|discourse|topic|hibernation|mode|gather|engage)$|^(slash|oracle|applicant|choose|belong|accomplish|hop|lie|base|shred|info|collect|presence|sage|worthy|riddle|blame|obscurity|discourse|topic|hibernation|mode|gather|engage)$)
1,before_18,"(^(madrid|foreigner|inherit|receive|hail|vitoria|northern|phd|physics|austin|texas|send|kindergarten|school|age|piano|lesson|teach|remember|big|fear|lose|ability|reason|education|public|high|school|href=""https://www.ibo.org|benefit|target|international|baccalaureate|programme</a|admit|hard|selection|process|student|applicant|madrid|graduation|madrid|philology|south|exact)(?![\w])|(?<=[\W_])(madrid|foreigner|inherit|receive|hail|vitoria|northern|phd|physics|austin|texas|send|kindergarten|school|age|piano|lesson|teach|remember|big|fear|lose|ability|reason|education|public|high|school|href=""https://www.ibo.org|benefit|target|international|baccalaureate|programme</a|admit|hard|selection|process|student|applicant|madrid|graduation|madrid|philology|south|exact)(?![\w])|(?<=[\W_])(madrid|foreigner|inherit|receive|hail|vitoria|northern|phd|physics|austin|texas|send|kindergarten|school|age|piano|lesson|teach|remember|big|fear|lose|ability|reason|education|public|high|school|href=""https://www.ibo.org|benefit|target|international|baccalaureate|programme</a|admit|hard|selection|process|student|applicant|madrid|graduation|madrid|philology|south|exact)$|^(madrid|foreigner|inherit|receive|hail|vitoria|northern|phd|physics|austin|texas|send|kindergarten|school|age|piano|lesson|teach|remember|big|fear|lose|ability|reason|education|public|high|school|href=""https://www.ibo.org|benefit|target|international|baccalaureate|programme</a|admit|hard|selection|process|student|applicant|madrid|graduation|madrid|philology|south|exact)$)"
2,volunteer_work,(^(interest|help|stuck|age|parent|psychoanalyst|spelling|struggle|right|attempt|stuff|stick|early|interest|drive|embark|adventure|memorable|guatemala|small|town|antigua|help|local|build|house|teach|syria|war|suburb|damascus|yarmuk|famous|settle|palestinian|guess|right|wear|honorable|batch|frequent|late|visitor|bonding|experience|much|trip|experience|win|finalist|award|renowned|contest|sea|competition|hold|anna|lindh|foundation)(?![\w])|(?<=[\W_])(interest|help|stuck|age|parent|psychoanalyst|spelling|struggle|right|attempt|stuff|stick|early|interest|drive|embark|adventure|memorable|guatemala|small|town|antigua|help|local|build|house|teach|syria|war|suburb|damascus|yarmuk|famous|settle|palestinian|guess|right|wear|honorable|batch|frequent|late|visitor|bonding|experience|much|trip|experience|win|finalist|award|renowned|contest|sea|competition|hold|anna|lindh|foundation)(?![\w])|(?<=[\W_])(interest|help|stuck|age|parent|psychoanalyst|spelling|struggle|right|attempt|stuff|stick|early|interest|drive|embark|adventure|memorable|guatemala|small|town|antigua|help|local|build|house|teach|syria|war|suburb|damascus|yarmuk|famous|settle|palestinian|guess|right|wear|honorable|batch|frequent|late|visitor|bonding|experience|much|trip|experience|win|finalist|award|renowned|contest|sea|competition|hold|anna|lindh|foundation)$|^(interest|help|stuck|age|parent|psychoanalyst|spelling|struggle|right|attempt|stuff|stick|early|interest|drive|embark|adventure|memorable|guatemala|small|town|antigua|help|local|build|house|teach|syria|war|suburb|damascus|yarmuk|famous|settle|palestinian|guess|right|wear|honorable|batch|frequent|late|visitor|bonding|experience|much|trip|experience|win|finalist|award|renowned|contest|sea|competition|hold|anna|lindh|foundation)$)
3,as_writer,"(^(side|famous|writer|win|renowned|award|premio|nadal|edition|href=""https://en.wikipedia.org|wiki|jos%c3%a9_f%c3%a9lix_tapia|target|link|wikipedia|die|old|link|fabulous|writer|dare|early|passion|correlation|causation|difficult|least|concern)(?![\w])|(?<=[\W_])(side|famous|writer|win|renowned|award|premio|nadal|edition|href=""https://en.wikipedia.org|wiki|jos%c3%a9_f%c3%a9lix_tapia|target|link|wikipedia|die|old|link|fabulous|writer|dare|early|passion|correlation|causation|difficult|least|concern)(?![\w])|(?<=[\W_])(side|famous|writer|win|renowned|award|premio|nadal|edition|href=""https://en.wikipedia.org|wiki|jos%c3%a9_f%c3%a9lix_tapia|target|link|wikipedia|die|old|link|fabulous|writer|dare|early|passion|correlation|causation|difficult|least|concern)$|^(side|famous|writer|win|renowned|award|premio|nadal|edition|href=""https://en.wikipedia.org|wiki|jos%c3%a9_f%c3%a9lix_tapia|target|link|wikipedia|die|old|link|fabulous|writer|dare|early|passion|correlation|causation|difficult|least|concern)$)"
4,as_linguist,(^(philology|intuit|affect|extent|impact|approach|subject|speaker|common|history|right|next|door)(?![\w])|(?<=[\W_])(philology|intuit|affect|extent|impact|approach|subject|speaker|common|history|right|next|door)(?![\w])|(?<=[\W_])(philology|intuit|affect|extent|impact|approach|subject|speaker|common|history|right|next|door)$|^(philology|intuit|affect|extent|impact|approach|subject|speaker|common|history|right|next|door)$)
5,university_experience,(^(philology|university|university|3-year|programme|licenciatura|diplomatura|licenciaturas</i|new|format|adopt|europe|clash|validate|old|format|category|divide|previous|channel|form|intend|audience|team|position|apply|lengthy|explanation|third|enrol|course|university|jordan|capital|amman|fifth|freie|universität|obtain|arabikum|certificate|complete|licenciatura|type|programme|interpreting)(?![\w])|(?<=[\W_])(philology|university|university|3-year|programme|licenciatura|diplomatura|licenciaturas</i|new|format|adopt|europe|clash|validate|old|format|category|divide|previous|channel|form|intend|audience|team|position|apply|lengthy|explanation|third|enrol|course|university|jordan|capital|amman|fifth|freie|universität|obtain|arabikum|certificate|complete|licenciatura|type|programme|interpreting)(?![\w])|(?<=[\W_])(philology|university|university|3-year|programme|licenciatura|diplomatura|licenciaturas</i|new|format|adopt|europe|clash|validate|old|format|category|divide|previous|channel|form|intend|audience|team|position|apply|lengthy|explanation|third|enrol|course|university|jordan|capital|amman|fifth|freie|universität|obtain|arabikum|certificate|complete|licenciatura|type|programme|interpreting)$|^(philology|university|university|3-year|programme|licenciatura|diplomatura|licenciaturas</i|new|format|adopt|europe|clash|validate|old|format|category|divide|previous|channel|form|intend|audience|team|position|apply|lengthy|explanation|third|enrol|course|university|jordan|capital|amman|fifth|freie|universität|obtain|arabikum|certificate|complete|licenciatura|type|programme|interpreting)$)
6,rating_as_university_student,(^(journey|suppose|risk|figure|stuff|hand|life|self|induce|motivation|figure)(?![\w])|(?<=[\W_])(journey|suppose|risk|figure|stuff|hand|life|self|induce|motivation|figure)(?![\w])|(?<=[\W_])(journey|suppose|risk|figure|stuff|hand|life|self|induce|motivation|figure)$|^(journey|suppose|risk|figure|stuff|hand|life|self|induce|motivation|figure)$)
7,as_immigrant,(^(reside|germany|move|hamburg|summer|pearl|city|marry|term|apartment|stone|throw|unparalleled|beauty|lake|binnenalster|dense|mist|hang|lake|office|home|mist|lift|environmental|behaviour|accustom|exert|impact|boundary|impressive|collection|board|game|brave|weather)(?![\w])|(?<=[\W_])(reside|germany|move|hamburg|summer|pearl|city|marry|term|apartment|stone|throw|unparalleled|beauty|lake|binnenalster|dense|mist|hang|lake|office|home|mist|lift|environmental|behaviour|accustom|exert|impact|boundary|impressive|collection|board|game|brave|weather)(?![\w])|(?<=[\W_])(reside|germany|move|hamburg|summer|pearl|city|marry|term|apartment|stone|throw|unparalleled|beauty|lake|binnenalster|dense|mist|hang|lake|office|home|mist|lift|environmental|behaviour|accustom|exert|impact|boundary|impressive|collection|board|game|brave|weather)$|^(reside|germany|move|hamburg|summer|pearl|city|marry|term|apartment|stone|throw|unparalleled|beauty|lake|binnenalster|dense|mist|hang|lake|office|home|mist|lift|environmental|behaviour|accustom|exert|impact|boundary|impressive|collection|board|game|brave|weather)$)
8,career_switch_in_detail,(^(switch|spawn|compare|immerse|crack|reveal|wield|decision|incorrigible|infidel|land|type|leap|happy|outcome|advantage|outweigh|downside|obvious|reconcile|catch|glimpse|bring)(?![\w])|(?<=[\W_])(switch|spawn|compare|immerse|crack|reveal|wield|decision|incorrigible|infidel|land|type|leap|happy|outcome|advantage|outweigh|downside|obvious|reconcile|catch|glimpse|bring)(?![\w])|(?<=[\W_])(switch|spawn|compare|immerse|crack|reveal|wield|decision|incorrigible|infidel|land|type|leap|happy|outcome|advantage|outweigh|downside|obvious|reconcile|catch|glimpse|bring)$|^(switch|spawn|compare|immerse|crack|reveal|wield|decision|incorrigible|infidel|land|type|leap|happy|outcome|advantage|outweigh|downside|obvious|reconcile|catch|glimpse|bring)$)
9,DSR,"(^(bootcamp|attend|april|july|change|intricacy|art|retrieve|valuable|datum|display|intuitive|sum|technic|debunk|myth|internet|concoct|dark|underlie|behavior|grand|scheme|thing|change|advent|cyber|age|programme|check|href=""https://datascienceretreat.com|target|website</a>.)(?![\w])|(?<=[\W_])(bootcamp|attend|april|july|change|intricacy|art|retrieve|valuable|datum|display|intuitive|sum|technic|debunk|myth|internet|concoct|dark|underlie|behavior|grand|scheme|thing|change|advent|cyber|age|programme|check|href=""https://datascienceretreat.com|target|website</a>.)(?![\w])|(?<=[\W_])(bootcamp|attend|april|july|change|intricacy|art|retrieve|valuable|datum|display|intuitive|sum|technic|debunk|myth|internet|concoct|dark|underlie|behavior|grand|scheme|thing|change|advent|cyber|age|programme|check|href=""https://datascienceretreat.com|target|website</a>.)$|^(bootcamp|attend|april|july|change|intricacy|art|retrieve|valuable|datum|display|intuitive|sum|technic|debunk|myth|internet|concoct|dark|underlie|behavior|grand|scheme|thing|change|advent|cyber|age|programme|check|href=""https://datascienceretreat.com|target|website</a>.)$)"
