,intent_pred,intent_score,utterance,topic_level_0_pred,topic_level_0_score,topic_level_1_pred,topic_level_1_score
0,arabic,85.49917352047574,how well does rita speak arabic?,,,,
1,elaborate_request,21.40502798348636,te fijas en si estoy hablando en ingles?,,,,
2,complaint,35.98595516839951,I thinks this won't work.,,,,
3,bot_features,57.882859582382146,you speak french?,,,,
4,email,,my email is pepe.juanito.rodriguez@gmail.com,,,,
5,how2acquire,61.861968346825506,How can I contact Rita?,,,,
6,email,,My email is jose.garcia.mt@gmail.com,,,,
7,hobbies,78.00814067493445,Hi,,,,
8,history,63.69188795949285,Who are you,,,,
9,how2acquire,33.49870679154993,Who is this Rita,,,,
10,interests,26.16401323513655,What's her email address?,,,,
11,appearance,50.635092724687745,What can you do?,,,,
12,NLP,73.82744417101816,What do you know about Rita's professional experience?,,,,
13,opinion_languages,40.97803798300628,"If the significant dimension of language is hidden, man condemns? himself to adaptation?",,,,
14,website,9.71502236257466,To fall into the pit of the past and not face fear is to repeat the belief in destiny located in the body,,,,
15,translation_advice,25.700998110063747,"IN REALITY IS IT SPEAKED FOR THE EPHEMERAL, THE WEAK OF THE FLESH?",,,,
16,NLP,52.29700691547225,what does rita do professionally?,,,,
17,Jose,77.40144588602,is she married?,,,,
18,DSR,47.59218998289507,did she study ml?,,,,
19,hobbies,74.01662347502129,Hello,,,,
20,praise_compliment_insult,33.553784106439785,You speak ver fancy. Are you sure you're not drunk?,,,,
21,personal_opinion,55.92455557217753,"All righr. Well, I just woke up and I'm about to have breakfast",,,,
22,,,You don't like food?,,,as_character,80.99119041316641
23,,,What are you doing today?,about_the_bot,93.62434371808828,,
24,how2use,30.14141947289718,You don't like questions for what I see,,,,
25,praise_compliment_insult,33.460622906737854,I like croissants,,,,
26,advise_4_linguists_needing_a_change,20.928797419524244,I also like cinnamon rolls,,,,
27,volunteer_work,17.125384801430922,A better goal would be to save the world from Carles Puigdemont,,,,
28,hopes_and_dreams_for_the_future,26.00671210332796,I'm gonna save the world,,,,
29,Jose,25.43529902353448,"Jose is very smart, I know that",,,,
30,interests,37.11277095001113,Hi rita!,,,,
31,hobbies,42.35071728163299,We like Jose too! When do you want to have dinner next?,,,,
32,praise_compliment_insult,27.483655467101467,Crazy talk! Can you xode PHP?,,,,
33,NLP,24.052375933836732,Are you experienced in frontend development?,,,,
34,how2use,33.76826059589667,What will you do next?,,,,
35,how2acquire,37.6749310810232,I want to hire Rita! ,,,,
36,personal_opinion,34.602920576865195,Have a nice evening!,,,,
37,history,48.395047656465856,what is your name?,,,,
38,hobbies,26.341028112503576,what is your quest?,,,,
39,bot_features,16.668467439042516,what is the average velocity of an unladen swallow?,,,,
40,hobbies,78.00814067493445,hi,,,,
41,personal_opinion,56.43739561181166,Why do I have to read so much?,,,,
42,,,what is your favourite colour?,,,as_character,80.17117065941083
43,complaint,26.32362673037307,"this is sad to read - ""could not care less""...",,,,
44,,,ok,about_the_bot,68.85491909625465,,
45,appearance,50.92723107685154,what can you do,,,,
46,,,Why do I have to read so much?,about_the_bot,76.83527768587122,,
47,praise_compliment_insult,26.054972852596933,"I do not enjoy this experience so far, but I like the bot with the three eyes.",,,,
